;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бульдозеры, за шт.;;93243;…;…;…;143513;139726;132616;98826;111715;106 114;150 915;156 591;177 645;195 315;210 753;200 727;222 950;213 837;163 683;148 833;189 364;244 325;204 483;232 909;241 170;190 301;218 216;…;…;…;;;;;;;;;
Станки металлорежащие, за шт.;;54423;…;…;…;35830;3220;2089;1680;1357;1 056;1 129;987;1 413;2 166;1 729;1 162;1 269;1 610;1 351;1 583;2 137;1 600;1 211;1 273;1 244;1 077;1 066;…;…;…;;;;;;;;;
Станки для обработки дерева, пластмасс и аналогичных твердых материалов, за шт.;;19649;…;…;…;1130;857;393;946;992;881;1 045;1 074;1 435;2 541;1 360;1 277;1 959;2 165;1 468;1 738;1 386;1 252;1 039;1 029;824;703;880;…;…;…;;;;;;;;;
Тракторы, включая седельные тягачи, за шт.;;5907;…;…;…;13010;14067;13123;13395;14768;20 070;22 930;26 297;37 107;47 250;20 931;26 426;34 856;28 678;21 535;16 868;8 640;11 677;20 486;14 704;12 014;9 013;11 530;…;…;…;;;;;;;;;
Автобусы, за шт.;;26629;…;…;…;34016;26982;13209;11637;16108;14 309;14 181;21 659;36 910;43 137;43 201;27 939;30 033;32 185;47 655;47 263;74 481;75 277;100 986;88 428;79 008;96 148;84 179;…;…;…;;;;;;;;;
Автомобили легковые, за шт.;;4682;…;…;…;5443;6259;8265;9319;11486;9 833;9 988;12 096;13 325;15 182;16 326;16 234;18 339;18 692;18 999;18 691;18 556;22 578;25 019;24 764;26 091;22 350;23 586;…;…;…;;;;;;;;;
Автомобили грузовые, за шт.;;21032;…;…;…;22371;18127;17446;13239;12203;20 362;20 719;24 239;25 744;32 988;32 524;31 234;32 259;31 604;33 070;33 697;37 806;50 877;62 626;76 378;64 873;49 746;67 563;…;…;…;;;;;;;;;
_____________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1) За 2010 г. данные приведены без учета взаимной торговли Российской Федерации с Республикой Казахстан за июль-декабрь 2010 г. в связи 
с отменой таможенного оформления товаров на российской-казахстанской границе с 1 июля 2010 г. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Информация с 2022 года не публикуется. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Начиная с итогов за апрель 2014 г. с учетом данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
